,,,
EBS Volume,REGION :eu-west-1
VolumeId,Status,InstanceId,AttachTime,Size,Encryption_State
vol-0e64cc35e149afbe2,in-use,i-03f538aa0f35f0335,2018-10-15 12:12:51+00:00,20,False
vol-0ac102da12d82a1bc,in-use,i-01f3bc7791d193b8d,2018-10-15 12:12:51+00:00,20,False
vol-0138a995fe0e9494d,in-use,i-01cd70a673700632c,2018-10-15 12:12:52+00:00,20,False
vol-062b53f540af97b8b,in-use,i-07dc5f34d321c4333,2018-10-15 12:12:51+00:00,20,False
vol-0d58047eff4749db6,available,N/A,N/A,25,False
vol-0b68eaa178536b17d,in-use,i-03916f46e50bec8e1,2018-10-16 21:15:51+00:00,25,False
vol-043604fe611f2196c,in-use,i-0f3f152970d7eed68,2018-07-09 20:38:22+00:00,100,False
vol-03d293f25bc44ed62,in-use,i-0c393a4258148efb3,2018-07-09 20:51:15+00:00,50,False
vol-07193ffc79c53c844,in-use,i-0076996f4099cd46b,2018-07-10 20:17:45+00:00,20,False
vol-05de247308dd59ebe,in-use,i-04b21fdaa50c84f57,2018-07-10 20:17:45+00:00,20,False
vol-047b1b0544f84afda,in-use,i-0f8da19f5bb11dd20,2018-07-11 17:34:50+00:00,20,False
vol-0ccb5148d1b088120,in-use,i-06c15467cf30801c4,2018-07-30 21:14:15+00:00,20,False
vol-08ff46c448cd8e461,in-use,i-0c05b16b568ef7b1f,2018-07-30 21:17:54+00:00,20,False
vol-081587b5b51c0ec2f,in-use,i-03f97449fa06cbe50,2018-07-30 21:19:04+00:00,20,False
vol-0a061b12890cd7d54,in-use,i-0f5c044b966fc2f60,2018-07-30 21:22:13+00:00,20,False
vol-0e40bd6a681445db8,available,N/A,N/A,6,False
vol-0f4fd91be8d6031be,available,N/A,N/A,6,False
vol-018391fde5ea08341,available,N/A,N/A,40,False
vol-0c25dc2b1e705baef,available,N/A,N/A,40,False
vol-085cce05ee92d19b7,available,N/A,N/A,6,False
